Id	Text	Label
1241490299215634434	official death toll from #covid19 in the united kingdom is now greater than: germany + poland + switzerland + austria + portugal + greece + sweden + finland + norway + ireland... combined. uk: 67.5 million (233 dead) above group: 185 million (230 dead) httpurl	INFORMATIVE
1245916400981381130	dearest mr. president @user 1,169 coronavirus deaths in the us in 24 hours (?) covid19 pandemic is an international crime from china - not a nature disasster! please use your authorities to protect your people and world against china! #chinahastocompensateall	INFORMATIVE
1241132432402849793	"latest updates march 20 ⚠️5274 new cases and 38 new deaths in the united states illinois: governo pritzker issues ""stay at home"" order for all residents new york: governor cuomo orders 100% of all non-essential workers to stay home penns...source ( /coronavirus/country/us/ )"	INFORMATIVE
1236107253666607104	真把公主不当干部 breaking: 21 people on grand princess cruise ship docked off the california coast tested positive for coronavirus, including 19 crew members and two passengers, vice pres. mike pence says. 24 people tested negative. httpurl httpurl	INFORMATIVE
1239673817552879619	oklahoma city — the state department of education announced monday the closure of all k-12 public schools statewide until at least april 6 as the number of covid-19 cases climb and the risk of community spread grows. httpurl	UNINFORMATIVE
1240790181860409344	"democrats somehow managed to fight ebola without calling it ""the african virus."" a cluster of covid-19 cases has emerged in new york city's hassidic neighborhood, so it's only a matter of time before the local trump klux klan starts talking about ""the jew virus."""	UNINFORMATIVE
1249147011003187200	as number of #covid19 deaths surpassed 100,000 worldwide, ny surpassed italy on number of recorded deaths 🔥😷🇺🇸 new york state has more coronavirus cases than any country worldwide httpurl	INFORMATIVE
1241533144802758656	@user @user 1 week ago today (march 14), there were only 115 cases of covid in fl. today, last count was at 763... that is a 563% increase in 1 week due to your “slave to trump” incompetence. imagine next saturday if there is another 563% increase-we will be at 9300+. resign	INFORMATIVE
1236363091002011649	"“coronavirus impact: close taj mahal till march end, agra mayor urges” “people scared of foreigners and looked at them with suspicion, situation could turn nasty and tarnish india's image internationally,"" he said. not possible to tarnish india further. httpurl"	UNINFORMATIVE
1245725162957242368	"dear @user in #covid2019 case...give tools &amp; machines to #bangladesh, ""not money"". bcoz, #climate fund money was stolen by the ruling party. @user @user @user @user @user @user @user @user @user httpurl"	UNINFORMATIVE
1240721152076546049	los angeles is now the county with the highest number of coronavirus cases in california. @user breaks down the impact of #covid19 on la, from cancelled college commencements to haphazard health screenings at lax airport. #cheddarlive httpurl	UNINFORMATIVE
1246739551227387905	#covid19 updates. #sothsudan's fist positive patient is a 29 yo dutch, who arrived in the country from netherlands via addis ababa on 28 february. #ssot httpurl	INFORMATIVE
1242799513619664896	watch live !! discussion on #covid19 with union health minister dr harsh vardhan, union health secretary ms preeti sudan &amp; dg icmr, dr balram bhargava httpurl	UNINFORMATIVE
1251122786225045504	coronavirus cases in africa could shoot up from thousands now to 10 million within three to six months according to very provisional modelling, a regional @user official said on thursday. @user httpurl httpurl httpurl	UNINFORMATIVE
1241449715654410240	“according to their report if you come in contact with someone who tests positive for covid-19 you have a 1–5% chance of catching it as well.” who’s report? the world health organization. this is a long read but very worth while httpurl	UNINFORMATIVE
1241173819693252608	senators urge jeff bezos to give amazon warehouse workers sick leave, hazard pay - cnbc: * senators urge jeff bezos to give amazon warehouse workers sick leave, hazard pay cnbc * amazon warehouse workers fear catching coronavirus just to get you your… httpurl httpurl	UNINFORMATIVE
1245311331579899906	a @user professor has died after contracting #coronavirus a book of condolence will be available online soon for professor peter sinclair from the department of economics. httpurl	INFORMATIVE
1240108182409601024	eu imposes entry ban for 30 days while death toll in the united states mounts to 100; death toll in italy due to #coronavirus crosses 2100; spain, colombia, malaysia and canada seal borders #covid19 #coronaviruspandemic #cuarentenanacional #cuarentenacoronavirus #coronaalert httpurl	INFORMATIVE
1248321628808728576	إِنَّا لِلّهِ وَإِنَّـا إِلَيْهِ رَاجِعُونَ sad to hear about passing away of syed mehdi shah brother in law of cm sindh @user he was tested positive with #covid_19 may allah rest his soul in peace.	INFORMATIVE
1236128165745094663	@user carma &amp; her family in san jose, ca, are possibly infected with #coronavirus since 6 feb in seattle. way way more than 1,000 cases in seattle now... httpurl	INFORMATIVE
1244684987351404551	i think the president cyril ramaphosa should address us every day, monday - friday at 18:30 throughout this ordeal 🤷‍♂️ #covid_19 #coronavirusinsa #lockdownsa	UNINFORMATIVE
1242951300184076288	day 8 shout out goes to kevin ⁦@user for his great coverage of covid 19 and community responses and needs coupled with applause to ⁦@user med students who are tracking positive peeps contacts!!! httpurl	UNINFORMATIVE
1241183452243693568	@user we don’t want to argue. we want you racists in the @user to freaking stop calling it the “chinese virus.” that is disgusting. it is stirring up bigotry and hatred. we are not arguing. and people are dying. you are hateful #racist scum. stfu. #covid2019 #coronacrisis	UNINFORMATIVE
1241076120742768640	half of uruguay’s covid-19 cases can be traced to a single fashion designer httpurl	UNINFORMATIVE
1244676665990696961	e don happen!!! casala don burst!!! governor of oyo state, seyi makinde, has tested positive to the deadly coronavirus, few days after holding a political rally in the state. #coronavirustruth	INFORMATIVE
1248774057018806272	the line of cars just seems to get longer. these folks demand @user release migrants held here in eloy to try and stop spread of covid. human rights groups say at least two migrants in the detention center tested positive for virus. @user httpurl	INFORMATIVE
1244181629784002561	trump was wrong! he bed his election on shutting down virus!cdc issues domestic travel advisory as coronavirus deaths double to over 2,000 within two days httpurl	INFORMATIVE
1246972644416786440	most #workplaces to close for one month from apr 7 to curb spread of #covid-19” &amp; all the #singapore morning #news you need to know on one page for april 6, 2020 via @user #sarscovs #coronavirus #covip19 #independentjournalism in #cambodia httpurl	UNINFORMATIVE
1241782755412914177	kentucky republican rand paul is the first us senator to tested positive for covid-19. house members diaz-balart (r-fl) and mcadams (d-ut) tested positive for coronavirus earlier this month.	INFORMATIVE
1245114106497163270	"writing in fp, @user &amp; @user have penned their case against lifting iran sanx over the #covid pandemic. mark and rich are two of the smartest &amp; most influential advocates of the ""max pressure"" policy, and well worth reading. a few thoughts: httpurl"	UNINFORMATIVE
1236091525102268419	i have a place in philly and most of my family live in the general area. i’m traveling, a friend sent me this: “one floor of doylestown hospital is quarantined, central bucks school district shut down. coronavirus has arrived wth.”	UNINFORMATIVE
1236148083504775168	on friday, aipac announced that two attendees had tested positive for covid-19 coronavirus. mike pence and mitch mcconnell were both in attendance. others are being self quarantined but not attendees from the us. why? httpurl	INFORMATIVE
1235899315207450625	as #coronavirus spreads, democratic republic of congo discharges last #ebola patient httpurl via @user	UNINFORMATIVE
1245292834057576448	the city of #stl will start tracking positive cases of #covid19 by zip code. @user has your info this morning, live, from city hall. #tisl @user httpurl	UNINFORMATIVE
1245880624482664449	thread: join @user speaks to human rights lawyer @user and infectious diseases doctor daisy tagarda • gov't eyes mass testing for suspected covid-19 cases on april 14 • nbi probes netizens spreading fake news • dr. tagarda shares story from the frontlines httpurl	UNINFORMATIVE
1241182759449739265	check your email and visit the residence life covid19 plan for details on staying and checking out: httpurl httpurl	UNINFORMATIVE
1245863053662367747	the lss choices crisis hotline is available to help anyone experiencing #domesticviolence in franklin county. call 614-224-4663 24/7 love shouldn't hurt. #lssnetworkofhope experts fear domestic violence cases could rise during coronavirus outbreak httpurl	UNINFORMATIVE
1238874923965136896	#surgeongeneral just said 98% to 99% will recover. #coronavirusupdates #coronavirus httpurl if 99% will recover why is the world economy shutting down? why did the media lie that this virus has a 3.5% mortality rate? it's a #nwo control plan.	UNINFORMATIVE
1249803325199040515	inside louisiana's horrifying 'cancer alley,' an 85-mile stretch of pollution and environmental racism that's now dealing with some of the highest coronavirus death rates in the country httpurl james pasley apr 9, 2020, 7:42 pm (continued 4) httpurl	UNINFORMATIVE
1242812989130055680	"@user issues ""stay at home"" order issued for vt! httpurl effective 5:00pm today until april 15th. please read the order for businesses that are deemed ""essential"". #vermontstrong #covid19 #thankyourgrocers #thankyournurses #thankyourdoctors #stayhome"	UNINFORMATIVE
1245771047435218945	@user @user @user @user @user @user they both are relief hospitals provided by the federal government and federal protocols govern who can be admitted. guess the feds are not that keen to ensure non-coronavirus cases get admitted to their hospitals so @user can put corona patients in our regular hospitals	UNINFORMATIVE
1244578159976054785	3. st. xavier’s school, shivajinagar 4. st. lourdes school, cubbonpet 5. st. lourdes school, halasuru (ulsoor) please share #covid2019	UNINFORMATIVE
1236152372088442880	usat: aipac says 2 pple at dc conf. attended by pence &amp; others, tested positive for coronavirus the american israel public affairs committee told conf. attendees, some of whom include lawmakers, that at least 2 conf-goers have tested positive for covid-19 httpurl	INFORMATIVE
1245730086457876487	motorhomes / rv's for overworked healthcare workers? a thought occurred to me in reading about how #healthcare workers are a) so overworked and tired after their shifts, and b) so anxious over bringing #covid19 back to their families, c) in some cases s…httpurl	UNINFORMATIVE
1236128441956630534	#australia melbourne gp clinic closed after doctor tests positive for #coronavirus after seeing 70 patients this month - abc news httpurl via @user	INFORMATIVE
1245717847415930880	🚨senator loeffler and her husband “sold shares in retail stores such as lululemon and t.j. maxx and invested in a company that makes covid-19 protective garments.” in case governors were still wondering why price gouging on ppe products hasn’t halted.🤨 httpurl	UNINFORMATIVE
1241410720555765762	georgia in the coronavirus age: chaos, bad news, mounting deaths more than 300 patients from cruise ship with + covid land in atlanta. during flight, 3 found to test positive, 1 sick. cdc screened remaining patients &amp; released them to fly home. crazy httpurl	INFORMATIVE
1245640235871956993	according to cmo lucknow dr narendra agarwal: samples were taken of 25 people who had attended the tabglighi jamaat event. all 25 people have been tested negative for covid19. @user @user	INFORMATIVE
1246018084478939136	(update) the indian #rupee fell against the us #dollar recently. indian #coronavirus cases risk exponentially growing with manufacturing slowing. $usdinr may rise but it faces fading momentum #india #rbi - ... httpurl	UNINFORMATIVE
1245863461646561282	#yemen if any covid19 case shows up in yemen, god forbid, then we hold the saudico regimes &amp; their masters full responsibility. game over gestapo, your biological warfare isn't going to break will of the people of yemen. cholera &amp; diptheria are examples httpurl	UNINFORMATIVE
1244711847074213889	when you divide the coronavirus stimulus package by the population of america and remember that the virus was first announced 6666 days after the 9/11 attacks. 🧐 httpurl	UNINFORMATIVE
1236113067039027200	mathematically, the overall death rate from #covid19 is 3.3% (3412 dead out of 100,775 cases. death rate china is 3.7% death rate s. korea is 4.6% 👉🏼but the death rate in iran is horrific. it is 25.9%⁉️ httpurl	INFORMATIVE
1242841682648936449	a california highway patrol officer stationed in oakland has tested positive for the coronavirus, the latest bay area law enforcement officer to be diagnosed with the virus, authorities said. httpurl	INFORMATIVE
1243534385598496768	sad! 2 #coronavirusindia suicides! man commits suicide over coronavirus suspicion in dakshina karnataka. another middle-aged man from uppoor village in neighbouring udupi district ended his life on wednesday after suspecting that he had the covid-19 infection -- pti	INFORMATIVE
1237344256458657792	it will get worse since @user and the politically correct gang who are pawns of the un's @user will promote the spread of the virus through international travel into canada ontario confirms three new covid-19 cases httpurl	INFORMATIVE
1241636547365134336	just read this ‘incredibly worrying. covid-19 cases confirmed in gaza’ and geno felt bad for paul he’s been through so much lol good eyes old man	INFORMATIVE
1236183073273688064	heard about the news regarding an employee in bgc, specifically netlima building (where i worked before) who’s tested positive for #covid19. to my bgc friends and hangout buddies, my ex-officemates and colleagues who are still working there, you guys take care and be vigilant. 😔	INFORMATIVE
1245659811108159495	come on &amp; he must stop another hateful useless episode especially at such a time of disaster with the corona virus. he must stop the hate &amp; shameful &amp; disgraceful actions. adam schiff must forget &amp; must stop the hating especially at such a time of disaster with the corona virus.	UNINFORMATIVE
1250494185729335296	@user it's what they do.. remember the imaginary extra 20,000 police.. the 20 hospitals that were 8 then 2. imaginary help for sme's, self-employed.. imaginary #covid19 testing.. imaginary #ppe.. imaginary ventilators.. invisible care home deaths.. httpurl	UNINFORMATIVE
1241313082376425472	the corona virus cases in ghana is moving like the eve people's dance.... it moves forward, comes back and move forward again ... 19 #covid_19 cases now ehii 🙊🙊💔	UNINFORMATIVE
1241179161588387840	an update on our efforts to secure covid-19 test kits for the city of mobile: httpurl	UNINFORMATIVE
1251869634279718915	@user mr president ask evers in wisconsin to open our economy. he has us on lockdown until may 26. we have 170 deaths attributed to covid-19. i think 170 is an inflated number. last year our entire deaths were 140. we are not a hotbed. we need to open	INFORMATIVE
1245672947873918976	health-care workers make up 9.6% of confirmed covid-19 cases in ontario, @user has learned from government data. that includes doctors, nurses, paramedics, personal support workers, long-term care home staff and other health-care professionals: httpurl	UNINFORMATIVE
1244533791399575552	delighted to hear that friend @user has been discharged from hospital after having covid-19. i heard of her husband @user she's at home &amp; was having a brew. what a fighter you are linda. wishing the family good health, love @user x #localradio #darloradio httpurl	INFORMATIVE
1241173784272363525	we're just like everybody else - hunkered down at the moment. @user talked to local olympians with concerns about training for #tokyo2020 amid coronavirus shutdowns. httpurl	UNINFORMATIVE
1246037020641640449	"@user @user trump is no friend to veterans. trump was advised about covid-19 on aircraft carrier theodore roosevelt...did nothing! trump said soldiers suffering tbi had ""headaches"" after bombed! soldier's wanting the 1.3% raise ""unpatriotic"" ""like soldier's who weren't pow's"" deported 800 httpurl"	UNINFORMATIVE
1241164368588328961	washington state has 148 new #covid19 cases totaling 1,524 (source: @user ... growth appears linear looking back, unclear about the next five days ... looking decent @user #seattlecoronavirus httpurl	INFORMATIVE
